index,kanji,reading,romaji,type,meaning
555,柔らかい,やわらかい,yawarakai,"Adjective, い-adjective",soft
556,汚れる,よごれる,yogoreru,"Verb, Ichidan verb, Intransitive verb",to get dirty
557,喜ぶ,よろこぶ,yorokobu,"Verb, Godan verb",to be delighted
558,寄る,よる,yoru,"Verb, Godan verb, Intransitive verb",to visit; to drop by
559,予習,よしゅう,yoshuu,"Noun, Verb, Suru verb",preparation for a lesson
560,予定,よてい,yotei,"Noun, Suru verb",plan
561,用,よう,you,"Noun, Suffix",business; task; errand; use; purpose
562,用意,ようい,youi,"Noun, Verb, Suru verb",preparation; arrangements; provision; getting ready
563,用事,ようじ,youji,Noun,tasks; things to do; errand; business (to take care of)
564,予約,よやく,yoyaku,"Noun, Suru verb",reservation
565,湯,ゆ,yu,Noun,hot water
566,指,ゆび,yubi,Noun,finger
567,指輪,ゆびわ,yubiwa,Noun,finger ring
568,夢,ゆめ,yume,Noun,dream
569,揺れる,ゆれる,yureru,"Verb, Ichidan verb, Intransitive verb",to shake
570,残念,ざんねん,zannen,"Noun, Adjective, な-adjective",regrettable; unfortunate
571,全然,ぜんぜん,zenzen,Adverb,not entirely (used in a negative sentence)
